index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering
p0.004051304969235382_n40_k6_seed5,0.004051304969235382,5,40,6,0.9695512820512822,1.0442307692307693,2.2356490963418754,1.1475409836065575,0.02501237042703982,0.02515573068006348,0.038665097978273666,8.04882305343893e-09,0.0007083241504236752,0.024999999999999998,6.1,0.5869047619047618,"[-9.402772889258626, -9.212856725787033, -8.583129157109022, -8.531000375984092, -8.408330596040548, -8.245482375763265, -8.222201166461874, -8.0, -7.999999999999988, -7.9412117567233205, -7.872474615776117, -7.715335255941442, -7.61413574340914, -7.415461166933351, -7.351576196745794, -7.339868102922881, -7.317358922804103, -7.095373785226258, -6.929936260029961, -6.750867752959568, -6.665401654633748, -6.518462348035193, -6.390165411825056, -6.193204040671753, -6.109184803714893, -6.0892753550709635, -6.0000000000000036, -6.000000000000001, -5.999999999999992, -5.918430161650378, -5.893081335878006, -4.535931907641435, -4.396073561977646, -3.0087737635154284, -2.7366654660035032, -1.4699095102299904, -1.3717430903794416, -0.3998242831687949, -0.3545004597273153, -1.1102230246251565e-16]","[6.653619029992008, 6.651395588865294, 6.044065480516197, 6.096551216013362, 6.056564282835019, 6.108362599478175, 6.057235169814797, 6.111414815123243, 6.100000000000005, 6.055226109501685, 6.068873555527289, 6.150410905776616, 6.087373970377724, 6.011638898658961, 6.0524824163146995, 6.101056368767196, 6.078223392122159, 6.027379444663881, 6.014430923810167, 6.083599601037651, 6.018038518815267, 6.052632202180123, 6.057586635627368, 6.046916864405685, 6.100551776088794, 6.018256080620945, 6.1996626388038685, 6.007243213155215, 6.0999999999999925, 6.027606564571399, 6.128583270842041, 6.067381944695242, 6.067256637320981, 6.103230131699546, 6.014221090308131, 6.079820928508402, 6.042153527277798, 6.058251116226447, 6.119023756738962, 6.1]","[0.49487048393575694, 0.5123590050625351, 0.5929409987126426, 0.593885178129334, 0.5911701008657912, 0.5888105929736305, 0.5929204474042986, 0.5838578411221578, 0.5869047619047608, 0.5921325854591708, 0.5902184902994169, 0.5816212970605258, 0.5887149027205133, 0.5988723645644505, 0.5958449108806569, 0.5837003596146007, 0.5898362057938122, 0.5974424570013732, 0.6023803045024904, 0.5905280814694388, 0.5977638460124182, 0.59291531338159, 0.5927808384395432, 0.594666843088001, 0.5900736609884516, 0.5977715560610299, 0.5657877562364082, 0.6051884904509466, 0.5876190476190484, 0.5972066611339113, 0.583489247331765, 0.5903984063053043, 0.5922593534757532, 0.5846603945468967, 0.6008877626115225, 0.5896506957333298, 0.5956389642330583, 0.5932272905468364, 0.5845508758506255, 0.5869047619047618]"
p0.004051304969235382_n40_k6_seed6,0.004051304969235382,6,40,6,0.9803921568627452,1.0480769230769231,2.2813487995972883,1.15702479338843,0.025012366306249624,0.02515569157876814,0.03749999999999999,8.046099064194038e-09,0.0007081337466596204,0.025,6.05,0.5914285714285714,"[-9.220255889233288, -8.618033988749888, -8.618033988749866, -8.497225101988919, -8.406762888099077, -8.242966186296114, -8.163675115759563, -8.000000000000014, -7.999999999999989, -7.9026064479438265, -7.855276696976679, -7.661757913190683, -7.459649548425366, -7.401469242016334, -7.344576516755245, -7.317296876512837, -7.3070009631916895, -6.967010039966739, -6.9193114738722485, -6.618033988749898, -6.6180339887498905, -6.381966011250107, -6.381966011250105, -6.281148255333633, -6.108174822873759, -6.067367510931231, -6.000000000000003, -5.999999999999998, -5.999999999999992, -5.931083837513132, -5.891491460744536, -4.381966011250098, -4.381966011250091, -2.811985250195173, -2.72954751695786, -1.460752379464086, -1.3042824740748495, -0.4068283538403972, -0.3404972378426808, 9.43689570931383e-16]","[6.708167691953495, 6.000118763684521, 6.1, 6.050000000000001, 6.0276144584678075, 6.0500000000000025, 6.01898372798045, 6.000078348157139, 6.049999999999993, 6.00723962548377, 6.050000000000006, 6.038740156023637, 6.000000000000002, 6.00373022706074, 6.0, 6.000408544991603, 6.049999999999999, 6.0104166764041835, 6.050000000000001, 6.000732123009199, 6.099999999999999, 6.004009400105445, 6.100000000000003, 6.062309999180198, 6.049999999999999, 6.0044980945980475, 6.000038402442362, 6.000539044218916, 6.100000000000001, 6.002884223710987, 6.0, 6.1000000000000005, 6.000460953013965, 6.03351964657328, 6.050000000000001, 6.059778236598399, 6.0, 6.0217086909734014, 6.05, 6.050000000000001]","[0.4785998242365438, 0.599979640511225, 0.5828571428571429, 0.5914285714285714, 0.59526609283409, 0.591428571428571, 0.5967456466319231, 0.5999865688873477, 0.5914285714285729, 0.5987589213456395, 0.5914285714285701, 0.593358830395948, 0.6000000000000001, 0.5993605325038732, 0.6, 0.5999299637157253, 0.5914285714285715, 0.598214284044997, 0.5914285714285715, 0.5998744931984232, 0.5828571428571432, 0.5993126742676382, 0.5828571428571423, 0.5893182858548234, 0.5914285714285717, 0.599228898068906, 0.5999934167241661, 0.5999075924196143, 0.5828571428571424, 0.5995055616495453, 0.6000000000000001, 0.5828571428571429, 0.5999209794833205, 0.5942537748731518, 0.5914285714285714, 0.5897523022974172, 0.6, 0.5962785101188455, 0.5914285714285714, 0.5914285714285714]"
p0.004051304969235382_n40_k6_seed7,0.004051304969235382,7,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]"
p0.004421499907374487_n40_k6_seed0,0.004421499907374487,0,40,6,0.9803921568627452,0.9992307692307693,2.392869699346656,1.15702479338843,0.025012369964460667,0.02515572658997487,0.03749999999999999,8.048517273612037e-09,0.0007083042340840302,0.025,6.05,0.5914285714285714,"[-9.296977153414039, -8.618033988749929, -8.618033988749895, -8.497225101988924, -8.371332433765032, -8.242966186296133, -8.000000000000005, -8.000000000000005, -8.0, -7.9999999999999964, -7.8552766969767065, -7.480760976878569, -7.4596495484253635, -7.45964954842536, -7.344576516755262, -7.344576516755254, -7.307000963191681, -7.041989256517648, -6.919311473872242, -6.618033988749898, -6.618033988749896, -6.381966011250113, -6.381966011250097, -6.372910910829099, -6.108174822873758, -6.064681061399193, -6.000000000000007, -6.000000000000004, -5.99999999999999, -5.89149146074454, -5.891491460744528, -4.381966011250111, -4.38196601125011, -2.8811379025589106, -2.7295475169578616, -1.3042824740748584, -1.3042824740748546, -0.49021030463759047, -0.340497237842682, -4.440892098500626e-16]","[6.677117124340075, 6.0908070977486295, 6.009549150281253, 6.0, 6.019306085476251, 6.0, 6.034719257308117, 6.016666666666666, 6.020883663957283, 6.114073736769678, 5.999999999999998, 6.052500482062093, 6.001106619949027, 6.090450849718739, 6.065582795840488, 6.0345491502809345, 6.0, 6.0289261995283585, 6.0, 6.0936099778973505, 6.009549150293234, 6.034810483131259, 6.065450849718683, 6.073075074285946, 6.0, 6.00247646178873, 6.0, 6.000000000000001, 6.0, 6.06408725629714, 6.0345491502802355, 6.065450849718748, 6.04786368669237, 6.056570544524687, 6.0, 6.0904508497187475, 6.009996875950927, 6.055545269373168, 6.000000000000001, 6.050000000000001]","[0.48392277868455835, 0.5844330689573779, 0.5983630028089282, 0.6, 0.5966903853469283, 0.6, 0.5940481273186086, 0.5971428571428572, 0.5964199433216086, 0.5804445022680553, 0.5999999999999999, 0.5909999173607842, 0.5998102937230241, 0.5844941400482161, 0.5887572349987734, 0.5940772885232685, 0.6000000000000001, 0.5950412229379956, 0.6, 0.5839525752175974, 0.5983630028068744, 0.5940324886060702, 0.5887798543339402, 0.5874728444081234, 0.6000000000000001, 0.5995754636933606, 0.6, 0.6000000000000001, 0.5999999999999999, 0.5890136132062049, 0.5940772885233883, 0.588779854333929, 0.5917947965670223, 0.5903021923671964, 0.6, 0.5844941400482146, 0.5982862498369839, 0.5904779538217425, 0.6000000000000001, 0.5914285714285714]"
p0.004421499907374487_n40_k6_seed1,0.004421499907374487,1,40,6,0.9695512820512822,1.0103846153846154,2.3105395114458287,1.1475409836065575,0.02501236908906467,0.025155716825351577,0.03747316460432373,8.047938602949483e-09,0.0007082566845281578,0.025,6.1,0.5869047619047619,"[-9.398394282624833, -9.150221661722398, -8.587084386493148, -8.562389269284095, -8.44928584165194, -8.262017413915794, -8.21607102375714, -8.12300691405559, -8.000000000000004, -7.919173724895624, -7.855749495340871, -7.64094550828038, -7.494217304232844, -7.4406642280075985, -7.350119602736273, -7.33919885313853, -7.321135392970848, -7.079743932792637, -6.920306186097175, -6.767441751119489, -6.649612952603231, -6.5407253530566045, -6.412113032091749, -6.237377089260156, -6.116471246826643, -6.0890509103364305, -6.040876533051372, -6.000000000000001, -6.0, -5.899352909648445, -5.893245360682544, -4.594231066885659, -4.405780458042846, -2.872268080696001, -2.730336757954373, -1.520619451105368, -1.3087577882693935, -0.47094115563772787, -0.3410730807342139, 1.1102230246251565e-15]","[6.7667499385235255, 6.634069685513241, 6.0301742385697965, 6.04692069753318, 6.047783480928542, 6.09099310845586, 6.059670760340071, 6.052599506577151, 6.100000000000001, 6.006897166159234, 6.098899853048399, 6.056473877860533, 6.052261425991306, 6.081687575761888, 6.084562305437622, 6.146440696365428, 6.002040717962487, 6.0744006497239775, 6.086670496676586, 6.140188316900839, 6.108459385685595, 6.026327881534702, 6.024120704824874, 6.101471944920018, 6.013577803605473, 6.031684637740089, 6.01556456878413, 6.099999999999996, 6.1, 6.0349916854260055, 6.139420484576682, 6.0681565052022455, 6.025712643986317, 6.071380264131031, 6.080151300999575, 6.089684399960596, 6.068396775438118, 6.042440365700571, 6.098974149154322, 6.099999999999999]","[0.48479084715870646, 0.5072647150153506, 0.5969139783955416, 0.5974359746884448, 0.5947713402148347, 0.5872236063749774, 0.5917450098350773, 0.597524290452976, 0.586904761904762, 0.5997295337415052, 0.5900989278142263, 0.5926492836669084, 0.5938633109732465, 0.5888484504230078, 0.5905426459646155, 0.5752523938642363, 0.604822636371791, 0.5895407100235578, 0.5885959093307347, 0.5804325533322217, 0.5844313339648721, 0.597701574886221, 0.5991662632720356, 0.5872666592108753, 0.5985057295660595, 0.5966720905929662, 0.602709323810221, 0.5861904761904763, 0.5876189819670493, 0.5952950491127889, 0.5824819850349657, 0.5903216995796621, 0.5991928893699758, 0.5901959276658564, 0.5896694660975706, 0.5865873312117654, 0.5931919030356643, 0.5931081833284919, 0.5900279011894747, 0.5869047619047618]"
p0.004421499907374487_n40_k6_seed2,0.004421499907374487,2,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]"
p0.004421499907374487_n40_k6_seed3,0.004421499907374487,3,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]"
p0.004421499907374487_n40_k6_seed4,0.004421499907374487,4,40,6,1.0,1.1307692307692307,2.1848519758610756,1.0,0.025008433946547,0.025105040617963655,0.037500000000000006,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.0,0.6,"[-8.618033988749927, -8.61803398874986, -8.497225101988949, -8.497225101988949, -8.242966186296153, -8.242966186296146, -8.000000000000009, -7.999999999999997, -7.999999999999995, -7.855276696976703, -7.8552766969767, -7.459649548425352, -7.459649548425347, -7.344576516755262, -7.344576516755253, -7.307000963191678, -7.307000963191673, -6.9193114738722645, -6.919311473872252, -6.618033988749895, -6.618033988749882, -6.381966011250107, -6.3819660112501015, -6.108174822873774, -6.1081748228737665, -6.0000000000000036, -6.000000000000003, -5.999999999999999, -5.999999999999995, -5.891491460744533, -5.891491460744525, -4.381966011250124, -4.381966011250119, -2.7295475169578665, -2.7295475169578656, -1.304282474074856, -1.3042824740748538, -0.3404972378426823, -0.34049723784267827, -1.6653345369377348e-16]","[6.0, 6.0, 6.0, 6.000000000000001, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.999999999999999, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 5.999999999999998, 6.0, 6.0, 6.0, 6.000000000000001, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.000000000000001]","[0.6, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.5999999999999999, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.5999999999999999, 0.6, 0.6, 0.5999999999999999, 0.6, 0.5999999999999999, 0.5999999999999999, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6]"
p0.004421499907374487_n40_k6_seed5,0.004421499907374487,5,40,6,0.9695512820512822,1.0442307692307693,2.2356490963418754,1.1475409836065575,0.02501237042703982,0.02515573068006348,0.038665097978273666,8.04882305343893e-09,0.0007083241504236752,0.024999999999999998,6.1,0.5869047619047618,"[-9.402772889258626, -9.212856725787033, -8.583129157109022, -8.531000375984092, -8.408330596040548, -8.245482375763265, -8.222201166461874, -8.0, -7.999999999999988, -7.9412117567233205, -7.872474615776117, -7.715335255941442, -7.61413574340914, -7.415461166933351, -7.351576196745794, -7.339868102922881, -7.317358922804103, -7.095373785226258, -6.929936260029961, -6.750867752959568, -6.665401654633748, -6.518462348035193, -6.390165411825056, -6.193204040671753, -6.109184803714893, -6.0892753550709635, -6.0000000000000036, -6.000000000000001, -5.999999999999992, -5.918430161650378, -5.893081335878006, -4.535931907641435, -4.396073561977646, -3.0087737635154284, -2.7366654660035032, -1.4699095102299904, -1.3717430903794416, -0.3998242831687949, -0.3545004597273153, -1.1102230246251565e-16]","[6.653619029992008, 6.651395588865294, 6.044065480516197, 6.096551216013362, 6.056564282835019, 6.108362599478175, 6.057235169814797, 6.111414815123243, 6.100000000000005, 6.055226109501685, 6.068873555527289, 6.150410905776616, 6.087373970377724, 6.011638898658961, 6.0524824163146995, 6.101056368767196, 6.078223392122159, 6.027379444663881, 6.014430923810167, 6.083599601037651, 6.018038518815267, 6.052632202180123, 6.057586635627368, 6.046916864405685, 6.100551776088794, 6.018256080620945, 6.1996626388038685, 6.007243213155215, 6.0999999999999925, 6.027606564571399, 6.128583270842041, 6.067381944695242, 6.067256637320981, 6.103230131699546, 6.014221090308131, 6.079820928508402, 6.042153527277798, 6.058251116226447, 6.119023756738962, 6.1]","[0.49487048393575694, 0.5123590050625351, 0.5929409987126426, 0.593885178129334, 0.5911701008657912, 0.5888105929736305, 0.5929204474042986, 0.5838578411221578, 0.5869047619047608, 0.5921325854591708, 0.5902184902994169, 0.5816212970605258, 0.5887149027205133, 0.5988723645644505, 0.5958449108806569, 0.5837003596146007, 0.5898362057938122, 0.5974424570013732, 0.6023803045024904, 0.5905280814694388, 0.5977638460124182, 0.59291531338159, 0.5927808384395432, 0.594666843088001, 0.5900736609884516, 0.5977715560610299, 0.5657877562364082, 0.6051884904509466, 0.5876190476190484, 0.5972066611339113, 0.583489247331765, 0.5903984063053043, 0.5922593534757532, 0.5846603945468967, 0.6008877626115225, 0.5896506957333298, 0.5956389642330583, 0.5932272905468364, 0.5845508758506255, 0.5869047619047618]"
p0.004421499907374487_n40_k6_seed6,0.004421499907374487,6,40,6,0.9803921568627452,1.0480769230769231,2.2813487995972883,1.15702479338843,0.025012366306249624,0.02515569157876814,0.03749999999999999,8.046099064194038e-09,0.0007081337466596204,0.025,6.05,0.5914285714285714,"[-9.220255889233288, -8.618033988749888, -8.618033988749866, -8.497225101988919, -8.406762888099077, -8.242966186296114, -8.163675115759563, -8.000000000000014, -7.999999999999989, -7.9026064479438265, -7.855276696976679, -7.661757913190683, -7.459649548425366, -7.401469242016334, -7.344576516755245, -7.317296876512837, -7.3070009631916895, -6.967010039966739, -6.9193114738722485, -6.618033988749898, -6.6180339887498905, -6.381966011250107, -6.381966011250105, -6.281148255333633, -6.108174822873759, -6.067367510931231, -6.000000000000003, -5.999999999999998, -5.999999999999992, -5.931083837513132, -5.891491460744536, -4.381966011250098, -4.381966011250091, -2.811985250195173, -2.72954751695786, -1.460752379464086, -1.3042824740748495, -0.4068283538403972, -0.3404972378426808, 9.43689570931383e-16]","[6.708167691953495, 6.000118763684521, 6.1, 6.050000000000001, 6.0276144584678075, 6.0500000000000025, 6.01898372798045, 6.000078348157139, 6.049999999999993, 6.00723962548377, 6.050000000000006, 6.038740156023637, 6.000000000000002, 6.00373022706074, 6.0, 6.000408544991603, 6.049999999999999, 6.0104166764041835, 6.050000000000001, 6.000732123009199, 6.099999999999999, 6.004009400105445, 6.100000000000003, 6.062309999180198, 6.049999999999999, 6.0044980945980475, 6.000038402442362, 6.000539044218916, 6.100000000000001, 6.002884223710987, 6.0, 6.1000000000000005, 6.000460953013965, 6.03351964657328, 6.050000000000001, 6.059778236598399, 6.0, 6.0217086909734014, 6.05, 6.050000000000001]","[0.4785998242365438, 0.599979640511225, 0.5828571428571429, 0.5914285714285714, 0.59526609283409, 0.591428571428571, 0.5967456466319231, 0.5999865688873477, 0.5914285714285729, 0.5987589213456395, 0.5914285714285701, 0.593358830395948, 0.6000000000000001, 0.5993605325038732, 0.6, 0.5999299637157253, 0.5914285714285715, 0.598214284044997, 0.5914285714285715, 0.5998744931984232, 0.5828571428571432, 0.5993126742676382, 0.5828571428571423, 0.5893182858548234, 0.5914285714285717, 0.599228898068906, 0.5999934167241661, 0.5999075924196143, 0.5828571428571424, 0.5995055616495453, 0.6000000000000001, 0.5828571428571429, 0.5999209794833205, 0.5942537748731518, 0.5914285714285714, 0.5897523022974172, 0.6, 0.5962785101188455, 0.5914285714285714, 0.5914285714285714]"
p0.004421499907374487_n40_k6_seed7,0.004421499907374487,7,40,6,0.9803921568627452,1.0846153846153845,2.204494850674685,1.15702479338843,0.025008433946547,0.025105040617963655,0.03750000000000002,5.510744427942206e-09,0.0004849486578690896,0.024999999999999994,6.05,0.5914285714285714,"[-9.451418895689311, -8.618033988749904, -8.56105551229907, -8.497225101988953, -8.311983290989248, -8.242966186296108, -8.126070764653226, -7.9999999999999964, -7.999999999999989, -7.899925261165257, -7.8552766969767065, -7.485431865137558, -7.459649548425353, -7.347842144836517, -7.344576516755248, -7.313148537902313, -7.307000963191674, -6.920724234605622, -6.919311473872252, -6.661268032675867, -6.618033988749895, -6.506859645978495, -6.381966011250104, -6.270125725042342, -6.1081748228737665, -6.0652999229104765, -5.999999999999998, -5.999999999999997, -5.999999999999997, -5.9310431801818515, -5.891491460744521, -4.472899495865172, -4.381966011250095, -2.880515842788183, -2.729547516957851, -1.4175859446721226, -1.3042824740748533, -0.3768017026073408, -0.3404972378426822, -1.6653345369377348e-16]","[6.660698345142656, 6.009549150281253, 6.004805216856426, 6.005449673790582, 6.017783754449313, 6.05782172325201, 6.0216065749935765, 6.02980401362978, 6.016666666666666, 6.00526485174402, 6.027300475013025, 6.007664641521131, 6.079389262614624, 6.001062480701988, 6.097552825814745, 6.00168360864281, 6.094550326209422, 6.000808150148233, 6.099384417029758, 6.039113597963634, 6.09045084971875, 6.05945903228302, 6.065450849718745, 6.034441663522495, 6.04217827674799, 6.004262401238135, 6.003630531794865, 6.0, 6.028970004379142, 6.002922040452816, 6.002447174185242, 6.030811339005664, 6.0345491502812525, 6.055912193428625, 6.000615582970242, 6.039706279976056, 6.020610737385377, 6.011993827929402, 6.072699524986978, 6.050000000000001]","[0.48673742654697316, 0.5983630028089282, 0.5991762485388981, 0.5990657702073288, 0.5969513563801178, 0.5900877045853696, 0.5962960157153867, 0.5948907405206093, 0.5971428571428573, 0.5990974539867395, 0.595319918569196, 0.5986860614535203, 0.5863904121232075, 0.5998178604510882, 0.5832766584317582, 0.5997113813755184, 0.5837913726498134, 0.5998614599745888, 0.5829626713663273, 0.5932948117776626, 0.5844941400482141, 0.5898070230371966, 0.5887798543339295, 0.5940957148247152, 0.5927694382717734, 0.5992693026448914, 0.5993776231208803, 0.6, 0.5950337135350042, 0.5994990787795172, 0.599580484425387, 0.5947180561704574, 0.5940772885232138, 0.5904150525550929, 0.5998944714908153, 0.5931932091469619, 0.5964667307339355, 0.5979439152121022, 0.5875372242879467, 0.5914285714285714]"
